continent,population
Asia,22720000
Asia,2441000
Asia,3520000
Asia,7734000
Asia,129155000
Asia,617000
Asia,328000
Asia,2124000
Asia,1277558000
Asia,754700
Asia,4968000
Asia,6782000
Asia,212107000
Asia,1013662000
Asia,67702000
Asia,23115000
Asia,6217000
Asia,5083000
Asia,126714000
Asia,16223000
Asia,4699000
Asia,11168000
Asia,46844000
Asia,1972000
Asia,5433000
Asia,3282000
Asia,18827000
Asia,473000
Asia,286000
Asia,45611000
Asia,2662000
Asia,22244000
Asia,23930000
Asia,2542000
Asia,156483000
Asia,75967000
Asia,24039000
Asia,3101000
Asia,599000
Asia,21607000
Asia,3567000
Asia,16125000
Asia,61399000
Asia,6188000
Asia,4459000
Asia,885000
Asia,66591000
Asia,22256000
Asia,24318000
Asia,79832000
Asia,18112000
Europe,3401200
Europe,78000
Europe,8091800
Europe,10239000
Europe,8190900
Europe,3972000
Europe,10236000
Europe,7160400
Europe,10278100
Europe,82164700
Europe,5330000
Europe,39441700
Europe,1439200
Europe,5171300
Europe,59225700
Europe,43000
Europe,59623400
Europe,25000
Europe,10545700
Europe,4473000
Europe,10043200
Europe,3775100
Europe,279000
Europe,57680000
Europe,32300
Europe,3698500
Europe,435700
Europe,2424200
Europe,34000
Europe,4380000
Europe,2024000
Europe,380200
Europe,15864000
Europe,4478500
Europe,38653600
Europe,9997600
Europe,22455500
Europe,146934000
Europe,3200
Europe,27000
Europe,5398700
Europe,1987800
Europe,8861400
Europe,50456000
Europe,1000
Europe,10640000
North America,103000
North America,8000
North America,217000
North America,68000
North America,307000
North America,241000
North America,65000
North America,270000
North America,31147000
North America,4023000
North America,11201000
North America,38000
North America,71000
North America,8495000
North America,456000
North America,94000
North America,56000
North America,11385000
North America,6485000
North America,8222000
North America,2583000
North America,38000
North America,154000
North America,98881000
North America,11000
North America,395000
North America,5074000
North America,2856000
North America,3869000
North America,6276000
North America,7000
North America,17000
North America,1295000
North America,278357000
North America,114000
North America,21000
North America,93000
Africa,12878000
Africa,6695000
Africa,6097000
Africa,11937000
Africa,1622000
Africa,3615000
Africa,14786000
Africa,15085000
Africa,51654000
Africa,2943000
Africa,578000
Africa,428000
Africa,638000
Africa,31471000
Africa,68470000
Africa,3850000
Africa,293000
Africa,62565000
Africa,1226000
Africa,20212000
Africa,7430000
Africa,1305000
Africa,1213000
Africa,453000
Africa,0
Africa,30080000
Africa,3154000
Africa,5605000
Africa,2153000
Africa,28351000
Africa,15942000
Africa,11234000
Africa,19680000
Africa,2670000
Africa,1158000
Africa,10925000
Africa,149000
Africa,1726000
Africa,10730000
Africa,111506000
Africa,699000
Africa,7733000
Africa,29490000
Africa,9481000
Africa,6000
Africa,4854000
Africa,10097000
Africa,147000
Africa,1008000
Africa,77000
Africa,7651000
Africa,4629000
Africa,9586000
Africa,33517000
Africa,21778000
Africa,40377000
Africa,9169000
Africa,11669000
